,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,Trade History Report,,,,,,,,
1,Name:,Name:,Name:,Name:,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,FHS-20K Simone Calligaro,,,,,,,,
2,Account:,Account:,Account:,Account:,"24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)","24251276 (USD, FivePercentOnline-Real, real, Hedge)",,,,,,,,
3,Company:,Company:,Company:,Company:,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,Five Percent Online Ltd,,,,,,,,
4,Date:,Date:,Date:,Date:,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,2025.12.31 15:19,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,,,,,,,,
7,Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,Profit,,,,,,,,
8,2024.08.07 13:40:38,261181889,US30,buy,,,,,,,,,0.01,39338.10,38000.00,,2024.08.07 13:40:51,39337.1,-0.02,0.0,-0.1,-0.1
9,2024.08.08 04:00:02,261467925,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.02,38677.50,38455.74,39176.82,2024.08.08 16:52:49,39176.82,-0.04,0.0,99.86,99.86
10,2024.08.09 12:00:00,262076026,US30,buy,505035,505035,505035,505035,505035,505035,505035,505035,0.02,39564.10,39376.30,39806.72,2024.08.09 15:31:47,39374.9,-0.04,0.0,-37.84,-37.84
11,2024.08.09 12:00:00,262076027,SP500,buy,69038,69038,69038,69038,69038,69038,69038,69038,0.01,5344.10,5257.06,5433.4,2024.08.13 22:49:34,5433.4,-0.02,-0.44,8.93,8.93
12,2024.08.09 16:00:00,262169269,US30,sell,505026,505026,505026,505026,505026,505026,505026,505026,0.02,39384.40,39559.44,39103.24,2024.08.09 20:16:56,39559.5,-0.04,0.0,-35.02,-35.02
13,2024.08.09 20:00:00,262295775,US30,sell,505035,505035,505035,505035,505035,505035,505035,505035,0.02,39477.85,39665.65,39235.23,2024.08.12 04:00:00,39458.8,-0.04,-5.0,3.81,3.81
14,2024.08.12 04:00:00,262434487,US30,buy,505011,505011,505011,505011,505011,505011,505011,505011,0.02,39458.80,39241.18,39868.2,2024.08.12 16:57:30,39240.3,-0.04,0.0,-43.7,-43.7
15,2024.08.12 08:00:11,262472731,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.02,39498.50,39277.74,39998.82,2024.08.12 16:53:12,39276.8,-0.04,0.0,-44.34,-44.34
16,2024.08.12 16:00:00,262642893,US30,buy,505049,505049,505049,505049,505049,505049,505049,505049,0.02,39564.40,39333.80,39866.3,2024.08.12 16:47:14,39333.8,-0.04,0.0,-46.12,-46.12
17,2024.08.13 04:00:00,262872616,US30,buy,505003,505003,505003,505003,505003,505003,505003,505003,0.01,39406.60,39181.95,39701.68,2024.08.13 19:21:28,39701.68,-0.02,0.0,29.51,29.51
18,2024.08.13 20:00:00,263264326,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,39719.50,39935.92,39308.9,2024.08.14 04:00:00,39749.8,-0.02,-0.25,-3.03,-3.03
19,2024.08.14 20:00:00,263735393,US30,buy,505057,505057,505057,505057,505057,505057,505057,505057,0.01,39993.30,39849.05,40378.0,2024.08.15 15:46:53,40378.0,-0.02,-0.25,38.47,38.47
20,2024.08.15 04:00:01,263791644,US30,buy,505007,505007,505007,505007,505007,505007,505007,505007,0.01,40052.20,39874.20,40318.01,2024.08.15 08:00:19,40073.6,-0.02,0.0,2.14,2.14
21,2024.08.15 08:00:19,263833621,US30,sell,505018,505018,505018,505018,505018,505018,505018,505018,0.01,40074.60,40304.78,39642.8,2024.08.15 15:36:32,40305.6,-0.02,0.0,-23.1,-23.1
22,2024.08.16 20:00:00,264589496,SP500,buy,69042,69042,69042,69042,69042,69042,69042,69042,0.01,5561.64,5477.91,5651.19,2024.08.19 04:00:04,5564.5,-0.02,-0.4,0.29,0.29
23,2024.08.19 16:00:00,264963576,US30,buy,505027,505027,505027,505027,505027,505027,505027,505027,0.01,40686.70,40464.16,41001.24,2024.08.19 20:00:00,40900.15,-0.02,0.0,21.35,21.35
24,2024.08.21 12:00:01,265791687,SP500,buy,69025,69025,69025,69025,69025,69025,69025,69025,0.01,5597.60,5510.93,5687.0,2024.09.03 22:46:40,5510.38,-0.02,-1.08,-8.72,-8.72
25,2024.08.21 20:00:00,266058635,US30,sell,505026,505026,505026,505026,505026,505026,505026,505026,0.01,40861.40,41036.44,40580.24,2024.08.22 20:55:42,40580.24,-0.02,-0.25,28.12,28.12
26,2024.08.22 08:00:09,266177010,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,40857.20,40636.64,41357.72,2024.08.22 20:31:36,40636.45,-0.02,0.0,-22.08,-22.08
27,2024.08.23 04:00:05,266592516,US30,sell,505064,505064,505064,505064,505064,505064,505064,505064,0.01,40784.40,40948.68,40570.52,2024.08.23 16:34:49,40950.2,-0.02,0.0,-16.58,-16.58
28,2024.08.27 16:00:00,267814351,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,41132.90,40914.34,41635.42,2024.08.28 20:56:40,40914.0,-0.02,-0.25,-21.89,-21.89
29,2024.08.29 20:00:00,268976914,SP500,buy,69007,69007,69007,69007,69007,69007,69007,69007,0.01,5641.83,5563.28,5756.02,2024.09.03 17:49:47,5563.28,-0.02,-0.48,-7.86,-7.86
30,2024.08.29 20:00:00,268976933,SP500,buy,69038,69038,69038,69038,69038,69038,69038,69038,0.01,5641.83,5555.04,5731.38,2024.08.30 12:00:07,5616.5,-0.02,-0.04,-2.53,-2.53
31,2024.08.30 04:00:04,269043468,SP500,buy,69010,69010,69010,69010,69010,69010,69010,69010,0.01,5602.40,5513.16,5711.17,2024.09.03 22:41:16,5512.88,-0.02,-0.44,-8.95,-8.95
32,2024.08.30 12:00:07,269170280,SP500,buy,69038,69038,69038,69038,69038,69038,69038,69038,0.01,5617.00,5530.16,5706.5,2024.09.03 22:35:02,5530.13,-0.02,-0.44,-8.69,-8.69
33,2024.08.30 18:11:01,269394650,US30,buy,,,,,,,,,0.01,41373.40,39000.00,43000.0,2024.08.30 18:11:07,41376.4,-0.02,0.0,0.3,0.3
34,2024.08.30 18:12:35,269395616,US30,buy,,,,,,,,,0.01,41372.90,38888.00,43333.0,2024.08.30 18:12:45,41374.9,-0.02,0.0,0.2,0.2
35,2024.08.30 18:15:43,269398200,US30,buy,,,,,,,,,0.01,41362.90,38888.00,43333.0,2024.08.30 18:15:57,41363.4,-0.02,0.0,0.05,0.05
36,2024.08.30 20:00:00,269449421,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,41258.00,41037.44,41758.52,2024.09.03 21:00:30,41034.5,-0.02,-2.75,-22.35,-22.35
37,2024.08.30 22:01:38,269476045,US30,buy,,,,,,,,,0.01,41329.95,39999.00,44000.0,2024.08.30 22:02:02,41331.45,-0.02,0.0,0.15,0.15
38,2024.08.30 22:08:08,269476887,US30,buy,,,,,,,,,0.01,41335.45,38888.00,43333.0,2024.08.30 22:08:31,41334.9,-0.02,0.0,-0.06,-0.06
39,2024.08.30 22:13:58,269477583,US30,buy,,,,,,,,,0.01,41319.95,37777.00,43333.0,2024.08.30 22:14:33,41319.95,-0.02,0.0,0.0,0.0
40,2024.09.03 16:00:00,270237887,US30,sell,505049,505049,505049,505049,505049,505049,505049,505049,0.02,41322.00,41550.60,41018.1,2024.09.03 21:01:51,41018.1,-0.04,0.0,60.78,60.78
41,2024.09.03 20:00:00,270407201,US30,sell,505003,505003,505003,505003,505003,505003,505003,505003,0.02,41053.50,41276.95,40757.22,2024.09.05 18:01:17,40757.22,-0.04,-1.0,59.26,59.26
42,2024.09.04 04:00:00,270484085,US30,buy,505011,505011,505011,505011,505011,505011,505011,505011,0.02,40796.40,40578.78,41205.8,2024.09.04 08:00:02,40791.2,-0.04,0.0,-1.04,-1.04
43,2024.09.04 08:00:02,270532560,US30,sell,505057,505057,505057,505057,505057,505057,505057,505057,0.02,40791.20,40936.65,40407.7,2024.09.04 16:27:14,40936.8,-0.04,0.0,-29.12,-29.12
44,2024.09.04 08:00:02,270532562,US30,sell,505065,505065,505065,505065,505065,505065,505065,505065,0.02,40790.70,41037.93,40511.03,2024.09.04 16:36:27,41038.3,-0.04,0.0,-49.52,-49.52
45,2024.09.04 16:00:00,270764919,US30,sell,505007,505007,505007,505007,505007,505007,505007,505007,0.02,40884.30,41061.60,40617.79,2024.09.04 16:37:51,41062.8,-0.04,0.0,-35.7,-35.7
46,2024.09.04 16:00:00,270764929,US30,sell,505027,505027,505027,505027,505027,505027,505027,505027,0.02,40884.30,41106.84,40569.76,2024.09.04 17:44:34,41108.3,-0.04,0.0,-44.8,-44.8
47,2024.09.04 20:00:00,270932110,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.02,40945.55,41161.97,40534.95,2024.09.05 19:16:10,40534.95,-0.04,-0.5,82.12,82.12
48,2024.09.05 08:00:00,271044061,SP500,buy,69042,69042,69042,69042,69042,69042,69042,69042,0.01,5511.30,5427.52,5600.8,2024.09.06 17:53:15,5427.48,-0.02,-0.04,-8.38,-8.38
49,2024.09.05 20:00:00,271451262,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,40667.25,40883.67,40256.65,2024.09.06 16:31:36,40890.5,-0.02,-0.25,-22.33,-22.33
50,2024.09.05 20:00:00,271451265,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,40669.25,40448.69,41169.77,2024.09.06 17:55:08,40447.7,-0.02,-0.25,-22.16,-22.16
51,2024.09.05 20:00:00,271451271,US30,sell,505057,505057,505057,505057,505057,505057,505057,505057,0.01,40666.25,40811.50,40282.55,2024.09.05 20:47:22,40812.7,-0.02,0.0,-14.65,-14.65
52,2024.09.06 12:00:00,271634320,US30,sell,505035,505035,505035,505035,505035,505035,505035,505035,0.01,40611.30,40799.10,40368.68,2024.09.06 15:30:08,40819.0,-0.02,0.0,-20.77,-20.77
53,2024.09.06 20:00:00,271950534,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,40360.10,40576.52,39949.5,2024.09.09 12:16:00,40577.7,-0.02,-2.5,-21.76,-21.76
54,2024.09.09 12:00:00,272230324,US30,buy,505035,505035,505035,505035,505035,505035,505035,505035,0.01,40531.20,40343.40,40773.82,2024.09.09 17:11:00,40773.82,-0.02,0.0,24.26,24.26
55,2024.09.09 20:00:00,272496806,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,40981.60,41198.02,40571.0,2024.09.10 04:00:00,40818.9,-0.02,-0.25,16.27,16.27
56,2024.09.10 04:00:00,272568170,US30,buy,505011,505011,505011,505011,505011,505011,505011,505011,0.01,40818.90,40601.38,41228.4,2024.09.10 17:11:35,40600.7,-0.02,0.0,-21.82,-21.82
57,2024.09.10 04:00:05,272568352,SP500,sell,69025,69025,69025,69025,69025,69025,69025,69025,0.01,5473.10,5559.77,5383.7,2024.09.11 22:58:38,5559.93,-0.02,-0.04,-8.68,-8.68
58,2024.09.10 20:00:00,273026850,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,40542.05,40758.47,40131.45,2024.09.10 23:07:53,40758.6,-0.02,0.0,-21.66,-21.66
59,2024.09.10 20:00:00,273026864,US30,sell,505026,505026,505026,505026,505026,505026,505026,505026,0.01,40542.55,40717.59,40261.39,2024.09.10 21:35:16,40718.65,-0.02,0.0,-17.61,-17.61
60,2024.09.10 20:00:00,273026876,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,40544.55,40323.99,41045.07,2024.09.11 16:39:40,40323.9,-0.02,-0.25,-22.07,-22.07
61,2024.09.11 16:00:00,273390277,US30,sell,505035,505035,505035,505035,505035,505035,505035,505035,0.01,40583.40,40767.70,40337.28,2024.09.11 16:36:08,40337.28,-0.02,0.0,24.61,24.61
62,2024.09.12 04:00:05,273634595,US30,sell,505003,505003,505003,505003,505003,505003,505003,505003,0.01,40835.90,41060.55,40540.82,2024.09.12 20:45:05,41060.9,-0.02,0.0,-22.5,-22.5
63,2024.09.12 04:00:05,273634598,US30,buy,505064,505064,505064,505064,505064,505064,505064,505064,0.01,40839.10,40674.82,41052.98,2024.09.12 17:00:11,40672.9,-0.02,0.0,-16.62,-16.62
64,2024.09.12 08:00:00,273682100,US30,buy,505035,505035,505035,505035,505035,505035,505035,505035,0.01,40907.70,40719.50,41149.92,2024.09.12 16:48:42,40719.4,-0.02,0.0,-18.83,-18.83
65,2024.09.12 12:00:01,273788244,US30,sell,505026,505026,505026,505026,505026,505026,505026,505026,0.01,40910.00,41085.04,40628.84,2024.09.12 20:52:05,41085.4,-0.02,0.0,-17.54,-17.54
66,2024.09.13 04:00:01,274205493,US30,buy,505057,505057,505057,505057,505057,505057,505057,505057,0.01,41158.40,41012.05,41541.0,2024.09.16 16:30:01,41541.0,-0.02,-2.5,38.26,38.26
67,2024.09.13 04:00:01,274205518,US30,buy,505065,505065,505065,505065,505065,505065,505065,505065,0.01,41158.90,40911.77,41438.67,2024.09.13 17:43:30,41438.67,-0.02,0.0,27.98,27.98
68,2024.09.13 12:00:00,274365079,US30,buy,505049,505049,505049,505049,505049,505049,505049,505049,0.01,41131.80,40901.20,41433.7,2024.09.13 17:43:22,41433.7,-0.02,0.0,30.19,30.19
69,2024.09.13 16:00:00,274468275,SP500,buy,69007,69007,69007,69007,69007,69007,69007,69007,0.01,5608.50,5529.60,5722.34,2024.09.16 04:00:01,5623.9,-0.02,-0.4,1.54,1.54
70,2024.09.13 20:00:00,274615732,US30,buy,505007,505007,505007,505007,505007,505007,505007,505007,0.01,41391.00,41212.70,41656.51,2024.09.16 04:00:00,41413.6,-0.02,-2.5,2.26,2.26
71,2024.09.16 12:00:00,274887554,US30,sell,505027,505027,505027,505027,505027,505027,505027,505027,0.01,41445.20,41667.74,41130.66,2024.09.16 16:32:32,41669.7,-0.02,0.0,-22.45,-22.45
72,2024.09.17 04:00:00,275217995,US30,buy,505027,505027,505027,505027,505027,505027,505027,505027,0.01,41580.50,41356.86,41893.94,2024.09.17 08:00:03,41603.4,-0.02,0.0,2.29,2.29
73,2024.09.17 16:00:00,275523095,US30,sell,505018,505018,505018,505018,505018,505018,505018,505018,0.01,41759.40,41989.58,41327.6,2024.09.17 20:00:00,41538.8,-0.02,0.0,22.06,22.06
74,2024.09.18 04:00:02,275777151,US30,sell,505027,505027,505027,505027,505027,505027,505027,505027,0.01,41642.90,41866.34,41329.26,2024.09.18 21:00:30,41866.34,-0.02,0.0,-22.34,-22.34
75,2024.09.18 04:00:03,275777153,SP500,buy,69042,69042,69042,69042,69042,69042,69042,69042,0.01,5640.10,5556.32,5729.6,2024.09.19 20:42:40,5729.6,-0.02,-0.04,8.95,8.95
76,2024.09.18 12:00:05,275923310,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,41649.70,41429.14,42150.22,2024.09.19 20:46:07,42150.22,-0.02,-0.25,50.05,50.05
77,2024.09.18 20:00:01,276174552,SP500,buy,69025,69025,69025,69025,69025,69025,69025,69025,0.01,5641.24,5554.72,5730.79,2024.09.19 20:44:47,5730.79,-0.02,-0.04,8.96,8.96
78,2024.09.23 04:00:06,277402227,SP500,buy,69000,69000,69000,69000,69000,69000,69000,69000,0.01,5718.60,5640.88,5808.0,2024.10.11 17:11:01,5808.0,-0.02,-1.28,8.94,8.94
79,2024.09.23 16:00:00,277667993,SP500,buy,69025,69025,69025,69025,69025,69025,69025,69025,0.01,5715.30,5628.53,5804.6,2024.10.11 17:07:32,5804.6,-0.02,-1.28,8.93,8.93
80,2024.09.24 04:00:00,277880278,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,42071.40,41849.24,42570.32,2024.09.25 20:35:01,41847.6,-0.02,-0.25,-22.38,-22.38
81,2024.09.24 20:00:00,278362590,US30,sell,505026,505026,505026,505026,505026,505026,505026,505026,0.01,42133.60,42309.64,41853.44,2024.09.25 12:00:00,42194.9,-0.02,-0.25,-6.13,-6.13
82,2024.09.26 04:00:01,278937278,US30,sell,505064,505064,505064,505064,505064,505064,505064,505064,0.01,41957.80,42123.98,41745.82,2024.09.26 11:36:07,42124.1,-0.02,0.0,-16.63,-16.63
83,2024.09.26 16:00:00,279228948,US30,sell,505049,505049,505049,505049,505049,505049,505049,505049,0.01,42097.05,42329.15,41796.65,2024.09.27 16:31:26,42339.1,-0.02,-0.25,-24.21,-24.21
84,2024.09.30 20:00:00,280417940,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,42205.80,41984.24,42705.32,2024.09.30 21:22:15,41980.9,-0.02,0.0,-22.49,-22.49
85,2024.10.02 04:00:00,281056214,US30,sell,505003,505003,505003,505003,505003,505003,505003,505003,0.01,42085.90,42311.55,41791.82,2024.10.04 16:36:00,42312.2,-0.02,-0.5,-22.63,-22.63
86,2024.10.02 08:00:00,281109384,US30,sell,505064,505064,505064,505064,505064,505064,505064,505064,0.01,42065.00,42230.28,41852.12,2024.10.02 17:49:30,42231.7,-0.02,0.0,-16.67,-16.67
87,2024.10.03 08:00:00,281638887,SP500,buy,69013,69013,69013,69013,69013,69013,69013,69013,0.01,5697.98,5620.53,5787.53,2024.10.09 04:00:06,5746.63,-0.02,-0.52,4.87,4.87
88,2024.10.03 16:00:01,281878627,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,42052.90,41830.84,42551.92,2024.10.04 16:00:00,42270.1,-0.02,-0.25,21.72,21.72
89,2024.10.03 20:00:00,282032889,SP500,sell,69010,69010,69010,69010,69010,69010,69010,69010,0.01,5684.18,5773.27,5575.26,2024.10.09 18:00:32,5773.38,-0.02,-0.52,-8.92,-8.92
90,2024.10.04 04:00:00,282087799,US30,buy,505011,505011,505011,505011,505011,505011,505011,505011,0.01,41986.80,41768.28,42395.3,2024.10.04 08:00:01,41996.0,-0.02,0.0,0.92,0.92
91,2024.10.04 08:00:01,282129719,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,41996.50,42214.42,41587.4,2024.10.04 15:30:07,42214.42,-0.02,0.0,-21.79,-21.79
